model,mean_cer,mean_rtf,mean_wer,median_cer,median_rtf,median_wer,std_cer,std_rtf,std_wer
GigaAM,0.23391310936885468,0.11916850046212554,0.3991440315158049,0.2223415682062298,0.09114676661014195,0.386736214605067,0.10465779924045898,0.09191095209018586,0.11344039104493447
Vosk,0.2322800870976165,0.16030363032944145,0.4265264011826382,0.2224274767378215,0.1486838404097508,0.43630464480874315,0.12623410598572168,0.03117936831232717,0.16872952912351524
Whisper,0.28035341918833734,0.01898659372660056,0.2697800743605238,0.26990785128369016,0.018623466755934348,0.2153788727136991,0.08956519913259892,0.0015288295607497767,0.19671169143492828
